id,intakereason,breedname,speciesname,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47747,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/13/2017,Adult,Adult,5,13,2017,3,27,2017
47748,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47748,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/08/2017,Adult,Adult,5,8,2017,3,27,2017
47749,Abandoned,Border Collie/Mix,Dog,Male,Foster,03/27/2017,04/22/2017,Adult,Adult,4,22,2017,3,27,2017
47749,Abandoned,Border Collie/Mix,Dog,Male,Adoption,03/27/2017,05/14/2017,Adult,Adult,5,14,2017,3,27,2017
47750,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47750,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/08/2017,Adult,Adult,5,8,2017,3,27,2017
47751,Abandoned,Bully Breed Mix/Border Collie,Dog,Male,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47751,Abandoned,Bully Breed Mix/Border Collie,Dog,Male,Foster,03/27/2017,04/22/2017,Adult,Adult,4,22,2017,3,27,2017
47751,Abandoned,Bully Breed Mix/Border Collie,Dog,Male,Adoption,03/27/2017,05/09/2017,Adult,Adult,5,9,2017,3,27,2017
47751,Abandoned,Bully Breed Mix/Border Collie,Dog,Male,Adoption,03/27/2017,01/18/2020,Adult,Adult,1,18,2020,3,27,2017
47751,Abandoned,Bully Breed Mix/Border Collie,Dog,Male,Adoption,03/27/2017,07/25/2020,Adult,Adult,7,25,2020,3,27,2017
47752,Abandoned,Border Collie/Mix,Dog,Male,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47752,Abandoned,Border Collie/Mix,Dog,Male,Foster,03/27/2017,04/22/2017,Adult,Adult,4,22,2017,3,27,2017
47752,Abandoned,Border Collie/Mix,Dog,Male,Adoption,03/27/2017,05/16/2017,Adult,Adult,5,16,2017,3,27,2017
47753,Abandoned,Border Collie/Mix,Dog,Male,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47753,Abandoned,Border Collie/Mix,Dog,Male,Foster,03/27/2017,04/22/2017,Adult,Adult,4,22,2017,3,27,2017
47753,Abandoned,Border Collie/Mix,Dog,Male,Adoption,03/27/2017,05/10/2017,Adult,Adult,5,10,2017,3,27,2017
47753,Abandoned,Border Collie/Mix,Dog,Male,Adoption,03/27/2017,07/23/2018,Adult,Adult,7,23,2018,3,27,2017
47754,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
47754,Abandoned,Border Collie/Mix,Dog,Female,Adoption,03/27/2017,05/10/2017,Adult,Adult,5,10,2017,3,27,2017
47755,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
