id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
47704,Abandoned,Charlie,Chihuahua/Mix,Red,Dog,3 years 10 months.,Male,Adoption,03/21/2017,04/12/2017,Adult,4,12,2017,April
47707,Abandoned,Benji,DMH/DSH,Black,Cat,3 years 4 months.,Male,Foster,03/22/2017,04/06/2017,Adult,4,6,2017,April
47707,Abandoned,Benji,DMH/DSH,Black,Cat,3 years 4 months.,Male,Adoption,03/22/2017,05/16/2017,Adult,5,16,2017,May
47708,Abandoned,Simba,DMH/DSH,Black,Cat,3 years 4 months.,Male,Foster,03/22/2017,04/06/2017,Adult,4,6,2017,April
47708,Abandoned,Simba,DMH/DSH,Black,Cat,3 years 4 months.,Male,Adoption,03/22/2017,05/23/2017,Adult,5,23,2017,May
47710,Abandoned,Jayce,Pitbull,Blue,Dog,7 years 3 months.,Male,Reclaimed,03/22/2017,04/02/2017,Mature,4,2,2017,April
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Adoption,03/23/2017,03/31/2017,Adult,3,31,2017,March
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Adoption,03/23/2017,08/19/2017,Adult,8,19,2017,August
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Reclaimed,03/23/2017,03/30/2018,Adult,3,30,2018,March
47714,Abandoned,Acheron,Pitbull,Grey,Dog,6 years 1 month.,Male,Adoption,03/23/2017,05/20/2017,Adult,5,20,2017,May
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,7 years 9 months.,Female,Foster,03/23/2017,05/11/2017,Mature,5,11,2017,May
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,7 years 9 months.,Female,Adoption,03/23/2017,07/09/2017,Mature,7,9,2017,July
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,6 years 3 months.,Female,Adoption,03/23/2017,06/07/2017,Adult,6,7,2017,June
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,6 years 3 months.,Female,Adoption,03/23/2017,01/30/2018,Adult,1,30,2018,January
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,8 years 3 months.,Male,Adoption,03/23/2017,05/07/2017,Mature,5,7,2017,May
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,8 years 3 months.,Male,Adoption,03/23/2017,09/15/2017,Mature,9,15,2017,September
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,4 years 3 months.,Male,Adoption,03/24/2017,04/05/2017,Adult,4,5,2017,April
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,4 years 3 months.,Male,Adoption,03/24/2017,06/29/2017,Adult,6,29,2017,June
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,11 years 4 months.,Male,Adoption,03/24/2017,04/08/2017,Senior,4,8,2017,April
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,11 years 4 months.,Male,Adoption,03/24/2017,11/15/2017,Senior,11,15,2017,November
47728,Abandoned,Moto,Rat Terrier,Black and White,Dog,18 years 3 months.,Male,Adoption,03/24/2017,04/05/2017,Geriatric,4,5,2017,April
47730,Abandoned,Beemer,Domestic Short Hair,Orange and White,Cat,3 years 6 months.,Male,Adoption,03/24/2017,04/07/2017,Adult,4,7,2017,April
47738,Biting,Kingston,Australian Shepherd/Border Collie,Black and White,Dog,6 years 0 months.,Male,Reclaimed,03/25/2017,04/04/2017,Adult,4,4,2017,April
47742,Abandoned,Snickers,Mastiff/Mix,Tan,Dog,2 years 7 months.,Male,Adoption,03/25/2017,04/17/2017,Adult,4,17,2017,April
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,4 years 1 month.,Female,Foster,03/25/2017,04/15/2017,Adult,4,15,2017,April
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,4 years 1 month.,Female,Adoption,03/25/2017,05/27/2017,Adult,5,27,2017,May
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,4 years 5 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,4 years 5 months.,Female,Adoption,03/27/2017,05/13/2017,Adult,5,13,2017,May
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,3 years 3 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,3 years 3 months.,Female,Adoption,03/27/2017,05/08/2017,Adult,5,8,2017,May
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Male,Foster,03/27/2017,04/22/2017,Adult,4,22,2017,April
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Male,Adoption,03/27/2017,05/14/2017,Adult,5,14,2017,May
47750,Abandoned,Pepper,Border Collie/Mix,Brown and White,Dog,4 years 7 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47750,Abandoned,Pepper,Border Collie/Mix,Brown and White,Dog,4 years 7 months.,Female,Adoption,03/27/2017,05/08/2017,Adult,5,8,2017,May
47751,Abandoned,Copper,Bully Breed Mix/Border Collie,Brown and White,Dog,4 years 9 months.,Male,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47751,Abandoned,Copper,Bully Breed Mix/Border Collie,Brown and White,Dog,4 years 9 months.,Male,Foster,03/27/2017,04/22/2017,Adult,4,22,2017,April
47751,Abandoned,Copper,Bully Breed Mix/Border Collie,Brown and White,Dog,4 years 9 months.,Male,Adoption,03/27/2017,05/09/2017,Adult,5,9,2017,May
47751,Abandoned,Copper,Bully Breed Mix/Border Collie,Brown and White,Dog,4 years 9 months.,Male,Adoption,03/27/2017,01/18/2020,Adult,1,18,2020,January
47751,Abandoned,Copper,Bully Breed Mix/Border Collie,Brown and White,Dog,4 years 9 months.,Male,Adoption,03/27/2017,07/25/2020,Adult,7,25,2020,July
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Male,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Male,Foster,03/27/2017,04/22/2017,Adult,4,22,2017,April
47752,Abandoned,Pistol Pete,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Male,Adoption,03/27/2017,05/16/2017,Adult,5,16,2017,May
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,4 years 3 months.,Male,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,4 years 3 months.,Male,Foster,03/27/2017,04/22/2017,Adult,4,22,2017,April
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,4 years 3 months.,Male,Adoption,03/27/2017,05/10/2017,Adult,5,10,2017,May
47753,Abandoned,King,Border Collie/Mix,Black and White,Dog,4 years 3 months.,Male,Adoption,03/27/2017,07/23/2018,Adult,7,23,2018,July
47754,Abandoned,Chutney,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47754,Abandoned,Chutney,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Female,Adoption,03/27/2017,05/10/2017,Adult,5,10,2017,May
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Foster,03/27/2017,04/22/2017,Adult,4,22,2017,April
47755,Abandoned,Lucy Lu,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Adoption,03/27/2017,05/12/2017,Adult,5,12,2017,May
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Foster,03/27/2017,03/29/2017,Adult,3,29,2017,March
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Foster,03/27/2017,04/21/2017,Adult,4,21,2017,April
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,3 years 3 months.,Female,Adoption,03/27/2017,05/09/2017,Adult,5,9,2017,May
