id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/04/2017,Adult,Adult,05,04,2017,03,11,2017
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/07/2017,Adult,Adult,05,07,2017,03,11,2017
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,6 years 3 months.,Female,Foster,03/11/2017,04/06/2017,Adult,Mature,04,06,2017,03,11,2017
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,6 years 3 months.,Female,Adoption,03/11/2017,05/06/2017,Adult,Mature,05,06,2017,03,11,2017
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,03/31/2017,Adult,Adult,03,31,2017,03,11,2017
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,04/02/2017,Adult,Adult,04,02,2017,03,11,2017
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,03/22/2019,Adult,Adult,03,22,2019,03,11,2017
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Foster,03/11/2017,05/15/2019,Adult,Adult,05,15,2019,03,11,2017
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,06/12/2019,Adult,Adult,06,12,2019,03,11,2017
47659,Abandoned,Earl,Domestic Medium Hair,White,Cat,3 years 11 months.,Male,Adoption,03/14/2017,04/07/2017,Adult,Adult,04,07,2017,03,14,2017
47661,Abandoned,Conner,Domestic Short Hair,Black,Cat,5 years 3 months.,Male,Adoption,03/15/2017,04/26/2017,Adult,Adult,04,26,2017,03,15,2017
47662,Abandoned,Carol,Shep Mix/Great Dane,Black and Brown,Dog,8 years 6 months.,Female,Adoption,03/15/2017,04/01/2017,Mature,Mature,04,01,2017,03,15,2017
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,6 years 11 months.,Female,Adoption,03/15/2017,04/08/2017,Adult,Mature,04,08,2017,03,15,2017
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,6 years 11 months.,Female,Adoption,03/15/2017,06/09/2017,Adult,Mature,06,09,2017,03,15,2017
47681,Abandoned,Sisqo`,Siberian Husky/Affenpinscher,Black and White,Dog,5 years 6 months.,Male,Transfer,03/18/2017,04/12/2017,Adult,Adult,04,12,2017,03,18,2017
47683,Abandoned,Larry,Hound/German Shorthaired Pointer,Red,Dog,4 years 9 months.,Male,Adoption,03/18/2017,04/12/2017,Adult,Adult,04,12,2017,03,18,2017
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Foster,03/18/2017,04/26/2017,Geriatric,Geriatric,04,26,2017,03,18,2017
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Foster,03/18/2017,07/27/2017,Geriatric,Geriatric,07,27,2017,03,18,2017
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Adoption,03/18/2017,07/31/2017,Geriatric,Geriatric,07,31,2017,03,18,2017
47685,Abandoned,Suzette,Domestic Short Hair,Tortoiseshell,Cat,19 years 3 months.,Female,Adoption,03/18/2017,04/13/2017,Geriatric,Geriatric,04,13,2017,03,18,2017
